Date,SpeedW,Lat,Lon,Speed,Edate
10/01/202100:44:53,7.8kn(s),46.29349,-50.2746,7.8,10
10/01/202101:21:23,6kn(s),46.30757,-50.1794,6,10
10/01/202103:04:33,5kn(s),46.34089,-49.9603,5,10
10/01/202104:28:13,4.8kn(s),46.36929,-49.8013,4.8,10
10/01/202104:55:23,4.5kn(s),46.37743,-49.7518,4.5,10
10/01/202106:10:53,5.3kn(s),46.40296,-49.6029,5.3,10
10/01/202106:42:12,5.5kn(s),46.4157,-49.5371,5.5,10
10/01/202108:07:40,5.5kn(s),46.44216,-49.3588,5.5,10
10/01/202108:28:54,5.4kn(s),46.44702,-49.3148,5.4,10
10/01/202109:05:33,5.3kn(s),46.45502,-49.2399,5.3,10
10/01/202109:36:43,5.3kn(s),46.46341,-49.1781,5.3,10
10/01/202113:03:43,5.4kn(s),46.55539,-48.7631,5.4,10
10/01/202113:58:22,5.4kn(s),46.59896,-48.6654,5.4,10
10/01/202114:55:33,5.5kn(s),46.64442,-48.5594,5.5,10
10/01/202116:09:14,9.4kn(s),46.69801,-48.3907,9.4,10
10/01/202117:22:33,2.9kn(s),46.76525,-48.3182,2.9,10
10/01/202117:52:43,2.4kn(s),46.78625,-48.3177,2.4,10
10/01/202118:34:13,5.1kn(s),46.75954,-48.289,5.1,10
10/01/202119:06:10,7.8kn(s),46.71698,-48.2585,7.8,10
10/01/202120:10:44,4.4kn(s),46.76322,-48.052,4.4,10
10/01/202120:23:54,1.9kn(s),46.77021,-48.0402,1.9,10
10/01/202122:05:22,.1kn(s),46.77218,-48.0391,0.1,10
10/01/202123:47:52,.3kn(s),46.77218,-48.0391,0.3,10
11/01/202102:20:42,.2kn(s),46.77232,-48.0184,0.2,11
11/01/202102:42:13,.1kn(s),46.77233,-48.0185,0.1,11
11/01/202105:13:43,.5kn(s),46.78439,-48.0176,0.5,11
11/01/202106:22:24,.2kn(s),46.78429,-48.0164,0.2,11
11/01/202115:44:53,5.6kn(s),46.85663,-48.3695,5.6,11
11/01/202117:28:52,5.5kn(s),46.7462,-48.3253,5.5,11
11/01/202118:03:32,5.2kn(s),46.70007,-48.291,5.2,11
11/01/202118:38:22,5.2kn(s),46.65439,-48.2579,5.2,11
11/01/202119:14:11,5.6kn(s),46.6068,-48.2322,5.6,11
11/01/202120:22:32,5.1kn(s),46.5132,-48.176,5.1,11
11/01/202120:41:30,5.3kn(s),46.48743,-48.161,5.3,11
11/01/202121:43:02,5.7kn(s),46.4036,-48.1073,5.7,11
11/01/202122:15:52,5kn(s),46.36008,-48.0792,5,11
11/01/202123:24:12,5.6kn(s),46.26859,-48.016,5.6,11
11/01/202123:59:43,5.2kn(s),46.22125,-47.985,5.2,11
12/01/202100:35:22,5.6kn(s),46.17326,-47.9523,5.6,12
12/01/202101:09:02,5.5kn(s),46.12661,-47.9219,5.5,12
12/01/202102:20:02,1.9kn(s),46.11099,-47.9042,1.9,12
12/01/202102:58:43,2.8kn(s),46.13443,-47.9229,2.8,12
12/01/202103:42:53,3.3kn(s),46.16472,-47.9488,3.3,12
